,Domain,Key Skills
0,Finance,Trade Support
1,Finance,Options
2,Finance,Credit Derivatives
3,Finance,Interest Rates
4,Finance,KYC
5,Finance,Finance
6,Finance,Bonds
7,Finance,Equity
8,Finance,Swaps
9,Finance,Fixed Income
10,Finance,Financial Analysis
11,Finance,Finance
12,Finance,Financial Analyst
13,Finance,finance manager
14,Finance,Financial Management
15,Finance,Branch Management
16,Finance,Non It
17,Finance,Banking
18,Finance,Smart Worker
19,Finance,Customer Care
20,Finance,Team Leading
21,Finance,Finance
22,Finance,Financial Accounting
23,Finance,Auditing
24,Finance,Banking
25,Finance,Bank Audit
26,Finance,Advanced Excel
27,Finance,MS Office
28,Finance,Balance Sheet
29,Finance,Stock Audit
30,Finance,Financial Modelling
31,Finance,Retail Banking
32,Finance,Sales
33,Finance,CASA
34,Finance,Retail Liabilities
35,Finance,Banking
36,Finance,Branch Banking
37,Finance,Banking Sales
38,Finance,Fund Raising
39,Finance,Finance
40,Finance,Banking
41,Finance,Forex
42,Finance,Business Loan
43,Finance,Compliance
44,Finance,Insurance
45,Finance,Working Capital
46,Finance,Communication Skills
47,Finance,Finance
48,Finance,Communication Skills
49,Finance,Finance
50,Finance,Finance
51,Finance,Commerce
52,Finance,Bcom
53,Finance,Financial Analysis
54,Finance,Portfolio Management
55,Finance,Investment Banking
56,Finance,Bancassurance
57,Finance,Local
58,Finance,Bbm
59,Finance,Mba Finance
60,Finance,Back Office Operations
61,Finance,Mba Fresher
62,Finance,Operations
63,Finance,Wealth
64,Finance,Automation
65,Finance,Financial analysis
66,Finance,Process improvement
67,Finance,Analytical
68,Finance,Financial planning
69,Finance,Taxation
70,Finance,Budgeting
71,Finance,Capital market
72,Finance,Forecasting
73,Finance,Variance analysis
74,Finance,Saving Account
75,Finance,Bde
76,Finance,CASA
77,Finance,Business Development executive
78,Finance,bdo
79,Finance,Current Account
80,Finance,business Development officer
81,Finance,Communication Skills
82,Finance,Financial Analysis
83,Finance,freshers
84,Finance,2020 passout can also apply
85,Finance,Finance
86,Finance,2020 passout
87,Finance,MS Office
88,Finance,Mba
89,Finance,Follow Ups
90,Finance,SAN
91,Finance,French
92,Finance,HR Executive
93,Finance,PDF
94,Finance,Cook
95,Finance,MIS Analyst
96,Finance,Tally
97,Finance,TDS
98,Finance,Word
99,Finance,Invoice Processing
100,Finance,Inter
101,Finance,Accounting
102,Finance,Finance
103,Finance,GST
104,Finance,Payments
105,Finance,Maintaining petty cash
106,Finance,Powerpoint
107,Finance,Provident Fund
108,Finance,Corporate Finance
109,Finance,Professional Tax
110,Finance,Communication Skills
111,Finance,Excel
112,Finance,Income Tax
113,Finance,Advance Tax
114,Finance,Monthly reimbursement
115,Finance,Annual renewal
116,Finance,Payroll Processing
117,Finance,CA
118,Finance,SAN
119,Finance,French
120,Finance,HR Executive
121,Finance,PDF
122,Finance,Cook
123,Finance,Financial Analyst
124,Finance,MIS Analyst
125,Finance,Bcom
126,Finance,rotational shifts
127,Finance,Accounting
128,Finance,Finance
129,Finance,US Shift
130,Finance,Night Shift
131,Finance,Interviewing
132,Finance,insurance
133,Finance,scale II
134,Finance,nbfc
135,Finance,customer relationship
136,Finance,customer service
137,Finance,Retired senior manager
138,Finance,accounting
139,Finance,cross selling
140,Finance,ABM
141,Finance,financial services
142,Finance,sales
143,Finance,Retired Cheif Manager
144,Finance,banking
145,Finance,marketing
146,Finance,fresher
147,Finance,operations
148,Finance,Heading Branch
149,Finance,SCALE III
150,Finance,graduate
151,Finance,deputy manager
152,Finance,finance
153,Finance,SCALE IV
